block,block_label,column,used_in_ref
missingness,missingness,flu_vaccinated_2021_2022_missing,yes
missingness,missingness,flu_vaccinated_2022_2023_missing,yes
missingness,missingness,flu_vaccinated_pre_pandemic_missing,yes
missingness,missingness,friends_climate_harm_missing,no
missingness,missingness,friends_immigration_tolerance_missing,no
missingness,missingness,friends_lgbt_adoption_rights_missing,no
missingness,missingness,friends_progressive_norms_nonvax_idx_missing,yes
missingness,missingness,group_trust_vax_missing,yes
missingness,missingness,health_good_missing,no
missingness,missingness,income_ppp_norm_missing,yes
missingness,missingness,medical_conditions_c_missing,no
missingness,missingness,minority_missing,yes
missingness,missingness,severity_if_infected_avg_missing,yes
missingness,missingness,side_effects_missing,no
missingness,missingness,side_effects_other_missing,no
missingness,missingness,social_norms_vax_avg_missing,yes
missingness,missingness,trust_onlineinfo_missing,no
missingness,missingness,trust_social_missing,no
missingness,missingness,trust_traditional_missing,no
moral_engine,Moral,mfq_agreement_binding_idx,yes
moral_engine,Moral,mfq_relevance_binding_idx,yes
moral_engine,Moral,moral_progressive_orientation,yes
norms_engine,Norms,colleagues_climate_harm,no
norms_engine,Norms,colleagues_immigration_tolerance,no
norms_engine,Norms,colleagues_lgbt_adoption_rights,no
norms_engine,Norms,colleagues_progressive_norms_nonvax_idx,yes
norms_engine,Norms,family_climate_harm,no
norms_engine,Norms,family_immigration_tolerance,no
norms_engine,Norms,family_lgbt_adoption_rights,no
norms_engine,Norms,family_progressive_norms_nonvax_idx,yes
norms_engine,Norms,friends_climate_harm,no
norms_engine,Norms,friends_immigration_tolerance,no
norms_engine,Norms,friends_lgbt_adoption_rights,no
norms_engine,Norms,friends_progressive_norms_nonvax_idx,yes
norms_engine,Norms,social_norms_vax_avg,yes
social_interaction_engine,Social interaction,contact_group_cohabitant,no
social_interaction_engine,Social interaction,contact_group_colleagues,no
social_interaction_engine,Social interaction,contact_group_friends,no
social_interaction_engine,Social interaction,contact_group_noncohabitant,no
social_interaction_engine,Social interaction,contact_group_others,no
social_interaction_engine,Social interaction,discussion_group_cohabitant,no
social_interaction_engine,Social interaction,discussion_group_colleagues,no
social_interaction_engine,Social interaction,discussion_group_friends,no
social_interaction_engine,Social interaction,discussion_group_noncohabitant,no
social_interaction_engine,Social interaction,discussion_group_others,no
social_interaction_engine,Social interaction,size_colleagues_group,no
social_interaction_engine,Social interaction,size_friend_group,no
social_interaction_engine,Social interaction,vax_convo_count_cohabitants,no
social_interaction_engine,Social interaction,vax_convo_count_friends,no
social_interaction_engine,Social interaction,vax_convo_count_others,no
social_interaction_engine,Social interaction,vax_convo_freq_cohabitants,no
social_interaction_engine,Social interaction,vax_convo_freq_friends,no
social_interaction_engine,Social interaction,vax_convo_freq_others,no
stakes_engine,Stakes,covid_perceived_danger_T12,yes
stakes_engine,Stakes,covid_perceived_danger_Y,no
stakes_engine,Stakes,disease_fear_avg,yes
stakes_engine,Stakes,flu_disease_fear,yes
stakes_engine,Stakes,flu_infection_likelihood_current,no
stakes_engine,Stakes,flu_severity_if_infected,no
stakes_engine,Stakes,infection_likelihood_avg,yes
stakes_engine,Stakes,severity_if_infected_avg,yes
trust_engine,Institutional trust,group_trust_vax,yes
trust_engine,Institutional trust,institutional_trust_avg,yes
trust_engine,Institutional trust,trust_gp_vax_info,no
trust_engine,Institutional trust,trust_local_health_authorities_vax_info,no
trust_engine,Institutional trust,trust_national_gov_vax_info,no
trust_engine,Institutional trust,trust_national_health_institutions_vax_info,no
trust_engine,Institutional trust,trust_who_vax_info,no
vaccine_cost_engine,Vaccine cost,att_vaccines_importance,no
vaccine_cost_engine,Vaccine cost,flu_vaccine_fear,no
vaccine_cost_engine,Vaccine cost,flu_vaccine_risk,no
vaccine_cost_engine,Vaccine cost,vaccine_fear_avg,no
vaccine_cost_engine,Vaccine cost,vaccine_risk_avg,no
