H_ID,var_x,var_y,expected_direction
H22,opinion_change_vaccines_importance,fivec_confidence,positive
H22,opinion_change_vaccines_importance,covax_num,positive
H22,opinion_change_vaccines_importance,flu_vaccinated_2023_2024,positive
H23,medical_conditions,covid_severity_if_infected,positive
H23,medical_conditions,flu_severity_if_infected,positive
H23,medical_conditions,severity_if_infected_avg,positive
H23,medical_conditions,covid_disease_fear,positive
H23,medical_conditions,flu_disease_fear,positive
H23,medical_conditions,disease_fear_avg,positive
H23,medical_conditions,covax_num,positive
H23,medical_conditions,flu_vaccinated_2023_2024,positive
H23,medical_conditions_c,severity_if_infected_avg,positive
H23,medical_conditions_c,disease_fear_avg,positive
H23,medical_conditions_c,covax_num,positive
H24,exper_illness,disease_fear_avg,positive
H24,exper_illness,meningitis_disease_fear,positive
H24,exper_illness,protective_behaviour_avg,positive
H24,exper_illness,covax_num,positive
H24,exper_illness,flu_vaccinated_2023_2024,positive
H25,knowledge_vax__herd_immunity_helps_reduce_the_spread_of_viruses,fivec_confidence,positive
H25,knowledge_vax__herd_immunity_helps_reduce_the_spread_of_viruses,vaccine_safety_avg,positive
H25,knowledge_vax__herd_immunity_helps_reduce_the_spread_of_viruses,covax_num,positive
H25,knowledge_vax__vaccines_have_eliminated_serious_diseases,fivec_confidence,positive
H25,knowledge_vax__vaccines_have_eliminated_serious_diseases,vaccine_safety_avg,positive
H25,knowledge_illness__measles,fivec_confidence,positive
H25,knowledge_illness__measles,covax_num,positive
H25,knowledge_vax__no_vaccines_are_recommended_to_the_adult_population,fivec_confidence,negative
H25,knowledge_vax__no_vaccines_are_recommended_to_the_adult_population,covax_num,negative
H25,knowledge_vax__i_don_t_know,fivec_confidence,negative
H25,knowledge_vax__i_don_t_know,covax_num,negative
H26,covid_num,covax_num,negative
H26,covid_num,vax_willingness_Y,negative
H26,covid_num,vax_willingness_T4,negative
H26,covid_num,covid_perceived_danger_Y,negative
H26,covid_num,covax_reason__i_had_covid_19_after_the_last_dose,positive
H26,covid_num,covax_reason__i_no_longer_saw_covid_19_as_a_serious_health_risk,positive
H27,covid_date_1_days_from_2019_01_01,covax_num,positive
H27,covid_date_1_days_from_2019_01_01,vax_willingness_Y,positive
H28,covid_perceived_danger_T12,vax_willingness_T12,positive
H28,covid_perceived_danger_T3,vax_willingness_T3,positive
H28,covid_perceived_danger_T4,vax_willingness_T4,positive
H28,covid_perceived_danger_Y,vax_willingness_Y,positive
H28,covid_perceived_danger_Y,protective_behaviour_avg,positive
H28,covid_perceived_danger_Y,support_mandatory_vaccination,positive
H28,covid_perceived_danger_Y,mask_when_pressure_high,positive
H28,covid_perceived_danger_Y,mask_when_symptomatic_crowded,positive
H28,covid_perceived_danger_Y,stay_home_when_symptomatic,positive
H28,covid_perceived_danger_Y,covax_num,positive
H29,yesterday_remote,covid_num,negative
H29,yesterday_remote,contact_group_cohabitant,negative
H29,yesterday_remote,contact_group_noncohabitant,negative
H29,yesterday_remote,contact_group_colleagues,negative
H29,yesterday_remote,contact_group_friends,negative
H29,yesterday_remote,contact_group_others,negative
